player_id,player_name_block,team_name_block,start_year_block,end_year_block,pitches,catcher_blocking_runs,blocks_above_average,n_pbwp,x_pbwp,blocks_above_average_per_game,freq_pbwp_easy,freq_pbwp_medium,freq_pbwp_tough,diff_pbwp_easy,diff_pbwp_medium,diff_pbwp_tough,blocking_rank,player_name_throw,team_name_throw,start_year_throw,end_year_throw,sb_attempts,catcher_stealing_runs,caught_stealing_above_average,n_cs,rate_cs,est_cs_pct,cs_aa_per_throw,seasonal_runner_speed,runner_distance_from_second,pop_time,exchange_time,arm_strength,n_xcs_with_flight_over_xcs,n_xcs_with_exchange_over_xcs,n_xcs_with_accuracy_over_xcs,n_xcs_with_ground_other_over_xcs,n_xcs_with_onfly_other_over_xcs,n_xcs_with_untracked_other_over_xcs,defensive_rank,overall_defensive_rank
666023,"Fermin, Freddy",KC,2024,,2940,2,10,14,23.600878787016907,0.1306242011839035,0.9554421768707484,0.0360544217687075,0.0085034013605442,4.164124423242941,4.289328829859963,1.14742553391401,6.333333333333333,"Fermin, Freddy",KC,2024,2024,23,5.074012578346036,7.80617319745544,14,0.6086956521739132,0.2692968175019374,0.3393988346719756,28.534782609,57.75946287449249,1.876,0.629714286,82.408490952,1.9863357748869124,1.780082641701775,2.7511061268262487,1.3222838201994658,-0.0336351661589619,0.0,20.666666666666668,13.5
673237,"Diaz, Yainer",HOU,2024,,4054,1,5,29,33.98017940470754,0.0491384253054521,0.9560927479033052,0.0345337937839171,0.0093734583127775,8.697143896158279,-6.248482777675274,2.531518286224577,18.166666666666668,"Diaz, Yainer",HOU,2024,2024,79,1.6795954025732844,2.583992927035822,19,0.240506329113924,0.2077975578856225,0.0327087712283015,28.192405063,55.78295048145039,1.963647887,0.730352113,84.389212535,8.040183230233708,-5.884201958944962,4.078159031544179,0.8326280679555573,-4.48277544375266,0.0,13.666666666666666,15.916666666666668
665804,"Amaya, Miguel",CHC,2024,,3894,3,13,25,37.6748597250172,0.1301988672318153,0.9450436569080638,0.0431432973805855,0.0118130457113507,0.3737157687788096,9.08361519525391,3.217528760984496,3.8333333333333335,"Amaya, Miguel",CHC,2024,2024,62,-2.1844578054890387,-3.3607043161369825,9,0.1451612903225806,0.1993661986473707,-0.05420490832479,28.261666667,55.86677658123492,2.037104167,0.700145833,78.000875417,-1.461740633274046,-2.4524917674618067,0.1969104977204696,0.4150223333478072,-1.0285501358346734,0.9701453893652668,31.166666666666668,17.5
668939,"Rutschman, Adley",BAL,2024,,3833,3,11,23,33.55105439140987,0.1101075334350103,0.956691886250978,0.0326115314375163,0.0106965823115053,2.998296295435299,3.800826333474956,3.7519317624996074,5.5,"Rutschman, Adley",BAL,2024,2024,68,0.8574399546686048,1.3191383917978534,13,0.1911764705882353,0.1717773765912079,0.0193990939970272,28.186764706,54.74010050686313,1.956807692,0.696961538,81.394224615,2.1002904538153917,-2.1318645550476165,-1.557757911087313,3.5878117114551893,-0.6343424870554953,-0.0449988202823026,30.0,17.75
663743,"Fortes, Nick",MIA,2024,,4223,2,9,29,37.71727038633311,0.0825694566548252,0.9535874970400188,0.0362301681269239,0.010182334833057,4.427525357091097,2.593517284508133,1.69622774473394,9.5,"Fortes, Nick",MIA,2024,2024,63,2.121069158069272,3.263183320106572,15,0.2380952380952381,0.1862986774586258,0.0517965606366122,28.36984127,55.52927941199036,1.946615385,0.641096154,79.249615385,-0.4332580529954951,1.9547408975254836,2.226039996889537,0.3552976085461177,-0.8396371298590718,0.0,26.916666666666668,18.208333333333336
669221,"Murphy, Sean",ATL,2024,,2432,3,11,12,23.02008649948629,0.1812514226889193,0.9481907894736844,0.0407072368421052,0.0111019736842105,0.7357308093837446,5.48361847703762,4.800737213064933,3.5,"Murphy, Sean",ATL,2024,2024,44,-1.2307582151768752,-1.8934741771951928,5,0.1136363636363636,0.1566698676635271,-0.0430335040271634,28.5,55.235942570863216,1.937057143,0.6822,82.998493429,2.3594024735882213,-1.1261154726326377,-0.0187901456246403,-0.5641761726375877,-2.433407268993625,-0.1103875908949231,33.833333333333336,18.666666666666668
605170,"Caratini, Victor",HOU,2024,,2092,1,4,14,17.830052050160926,0.0732323527755436,0.959847036328872,0.0282026768642447,0.0119502868068833,4.121177371476889,1.9209242171624683,-2.2120495384784244,17.0,"Caratini, Victor",HOU,2024,2024,42,1.1088050521792343,1.705853926429591,10,0.2380952380952381,0.197479668418343,0.040615569676895,28.202380952,56.201020489991926,2.0218,0.657714286,77.013722571,-1.5761793469124643,0.8748232518385113,2.850459456464345,-0.3115747213693657,-0.0911394286237058,-0.0405352849677289,23.416666666666668,20.208333333333336
607732,"Stallings, Jacob",COL,2024,,3026,3,11,17,27.51482677131645,0.1389930835600328,0.9514210178453402,0.0406477197620621,0.0079312623925974,4.019626548301503,4.247561704030659,2.2476385189842967,3.8333333333333335,"Stallings, Jacob",COL,2024,2024,43,-0.5135663207959638,-0.7901020319937904,7,0.1627906976744186,0.1811651635347393,-0.0183744658603207,28.3,56.06983004569646,1.954205128,0.662410256,78.980456154,-0.506310922798908,-0.4033958801610323,-0.8180083915627232,-0.3414290051915575,1.2790421677204304,0.0,37.166666666666664,20.5
575929,"Contreras, Willson",STL,2024,,1840,1,3,16,18.990798552222987,0.0650173598309346,0.9315217391304343,0.0576086956521739,0.0108695652173913,-1.4863624427495843,4.1624102245394194,0.3147507704331558,19.833333333333332,"Contreras, Willson",STL,2024,2024,32,0.8603417940353604,1.3236027600544005,7,0.2187500000000001,0.1773874137483,0.0413625862517,28.715625,56.39384996539455,1.974807692,0.703538462,81.303457308,1.2874753349809982,-1.413888917022975,0.7173637231582398,-0.5500285758456189,0.3249234656266477,0.9577577291571082,21.5,20.666666666666664
668670,"Rogers, Jake",DET,2024,,2857,2,9,20,28.606414171383108,0.1204958231905233,0.9429471473573684,0.0479523976198809,0.0091004550227511,6.035070551746207,-0.8103984349084097,3.381742054545339,7.833333333333333,"Rogers, Jake",DET,2024,2024,38,0.7165259592412266,1.102347629601887,11,0.2894736842105263,0.2604645360631082,0.029009148147418,28.115789474,57.18224484780837,1.933241379,0.594965517,78.028601034,-0.9207108583960424,2.3002791306034545,0.4275143513707728,0.6895979799212728,-2.356245165508571,0.9619121916110004,34.333333333333336,21.083333333333336
