"player_id","player_name","team_name","start_year","end_year","pitches","catcher_blocking_runs","blocks_above_average","n_pbwp","x_pbwp","blocks_above_average_per_game","freq_pbwp_easy","freq_pbwp_medium","freq_pbwp_tough","diff_pbwp_easy","diff_pbwp_medium","diff_pbwp_tough"
643376,"Jansen, Danny","BOS",2024,,2977,4,15,14,28.590624694988243,0.19604467174992565,0.9509573396036275,0.03627813234800134,0.012764528048370846,3.767335274020551,3.453672731202362,7.369616689765308
665804,"Amaya, Miguel","CHC",2024,,3894,3,13,25,37.6748597250172,0.13019886723181534,0.9450436569080638,0.04314329738058552,0.011813045711350785,0.37371576877880963,9.08361519525391,3.2175287609844956
669221,"Murphy, Sean","ATL",2024,,2432,3,11,12,23.020086499486286,0.18125142268891933,0.9481907894736843,0.040707236842105254,0.01110197368421053,0.7357308093837446,5.48361847703762,4.800737213064933
607732,"Stallings, Jacob","COL",2024,,3026,3,11,17,27.51482677131645,0.1389930835600328,0.9514210178453402,0.040647719762062114,0.00793126239259749,4.019626548301503,4.247561704030659,2.2476385189842967
668939,"Rutschman, Adley","BAL",2024,,3833,3,11,23,33.55105439140987,0.11010753343501031,0.9566918862509781,0.03261153143751632,0.010696582311505347,2.998296295435299,3.800826333474956,3.7519317624996065
666023,"Fermin, Freddy","KC",2024,,2940,2,10,14,23.600878787016907,0.13062420118390355,0.9554421768707485,0.0360544217687075,0.008503401360544215,4.164124423242941,4.289328829859963,1.14742553391401
668670,"Rogers, Jake","DET",2024,,2857,2,9,20,28.606414171383108,0.12049582319052338,0.9429471473573683,0.047952397619880974,0.009100455022751131,6.035070551746207,-0.8103984349084097,3.381742054545339
663743,"Fortes, Nick","MIA",2024,,4223,2,9,29,37.717270386333105,0.0825694566548252,0.9535874970400188,0.036230168126923985,0.010182334833057066,4.427525357091097,2.593517284508133,1.69622774473394
624431,"Trevino, Jose","NYY",2024,,2862,2,7,19,26.326969622766615,0.10240348878779346,0.9461914744933613,0.04262753319357092,0.011180992313067777,-0.6704592660856944,3.6906265911898095,4.306802297662504
645305,"Sánchez, Ali","MIA",2024,,1126,2,6,5,11.22184274201812,0.221024608952686,0.9458259325044414,0.04085257548845467,0.013321492007104791,3.137513560884005,0.9532874951216082,2.131041686012505
605131,"Barnes, Austin","LAD",2024,,1557,1,5,10,15.03507456630287,0.1293532322749614,0.9473346178548487,0.03982016698779702,0.01284521515735387,2.8163591881580667,1.567505907902995,0.6512094702418098
669224,"Wells, Austin","NYY",2024,,3860,1,5,29,33.86712897213128,0.05043656965939138,0.953108808290155,0.03549222797927463,0.011398963730569941,3.416382503123303,3.9617029604780534,-2.510956491470087
673237,"Diaz, Yainer","HOU",2024,,4054,1,5,29,33.98017940470754,0.04913842530545211,0.9560927479033053,0.03453379378391712,0.009373458312777501,8.697143896158279,-6.248482777675274,2.531518286224577
595978,"Hedges, Austin","CLE",2024,,1685,1,4,9,13.471858147688213,0.10615686997479443,0.9543026706231453,0.0385756676557863,0.007121661721068252,-0.17756105012001838,2.547312156432361,2.102107041375876
642136,"Thaiss, Matt","LAA",2024,,1501,1,4,11,14.901734823189779,0.10397694398906822,0.9493670886075957,0.035976015989340464,0.014656895403064635,1.5379124031909124,1.867076962873459,0.4967454571254126
605170,"Caratini, Victor","HOU",2024,,2092,1,4,14,17.830052050160926,0.07323235277554364,0.959847036328872,0.02820267686424476,0.011950286806883353,4.121177371476889,1.9209242171624683,-2.2120495384784244
671056,"Herrera, Iván","STL",2024,,2138,1,4,16,19.583770434300835,0.06704902589898727,0.9457436856875582,0.04396632366697852,0.010289990645463059,1.7456151846995904,4.31438523711681,-2.4762299875155307
666163,"Rortvedt, Ben","TB",2024,,3129,1,4,18,22.019591979799547,0.05138500453562896,0.9603707254713959,0.03323745605624802,0.006391818472355382,2.577075688728662,4.930807412658509,-3.488291121587599
608348,"Kelly, Carson","TEX",2024,,3236,1,4,31,34.71226065433275,0.045887029101764454,0.933559950556242,0.05377008652657604,0.012669962917181702,-0.2965539977705848,2.996060268246025,1.0127543838572999
575929,"Contreras, Willson","STL",2024,,1840,1,3,16,18.990798552222987,0.06501735983093464,0.9315217391304345,0.05760869565217393,0.010869565217391314,-1.4863624427495843,4.1624102245394194,0.3147507704331558
686780,"Pagés, Pedro","STL",2024,,2041,1,3,18,20.939227534209433,0.05760367533972434,0.9456148946594811,0.043116119549240516,0.011268985791278786,1.3817971054269127,0.1271807004278797,1.4302497283546398
672386,"Kirk, Alejandro","TOR",2024,,3168,1,3,21,24.426314112237495,0.04326154182118089,0.9592803030303029,0.03282828282828282,0.007891414141414135,3.7658113348031823,1.1308973691470618,-1.470394591712725
518735,"Grandal, Yasmani","PIT",2024,,2411,1,3,12,14.559207722138721,0.04245885893220604,0.973040232268768,0.021153048527581948,0.005806719203649937,0.649581696724219,2.2342157723760603,-0.3245897469615612
543877,"Vázquez, Christian","MIN",2024,,3081,1,3,20,23.093481988170574,0.04016205112847167,0.9584550470626423,0.03537812398571889,0.006166828951639076,1.693534531496419,0.7613797023070726,0.6385677543670435
518595,"d'Arnaud, Travis","ATL",2024,,3044,1,3,20,22.966183717046786,0.038977447004557436,0.9546649145860704,0.03942181340341655,0.0059132720105124865,1.885996513639104,1.4215519244469939,-0.3413647210392896
666310,"Naylor, Bo","CLE",2024,,3858,1,3,35,38.25617940619793,0.03376028414927925,0.9440124416796268,0.04224987039917058,0.013737687921202675,-1.8863465039675316,3.6126199914904173,1.5299059186750987
